avg_x,avg_y,fix,lefteye_avg_x,lefteye_avg_y,lefteye_pcenter_x,lefteye_pcenter_y,lefteye_psize,lefteye_raw_x,lefteye_raw_y,raw_x,raw_y,righteye_avg_x,righteye_avg_y,righteye_pcenter_x,righteye_pcenter_y,righteye_psize,righteye_raw_x,righteye_raw_y,state,time,timestamp,ROI_Image_avg,ROI_Image_lefteye,ROI_Image_raw,ROI_Image_righteye,ROI_Text_avg,ROI_Text_lefteye,ROI_Text_raw,ROI_Text_righteye
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797210,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,968797243,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,968797276,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,968797310,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797343,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797376,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797410,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797443,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797477,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797510,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,968797542,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797576,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5173,0.3655,15.1456,0,0,0,0,0,0,0,0,0,0,0,7,968797609,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5029,0.3687,15.5522,0,0,0,0,0,0,0,0,0,0,0,4,968797643,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797676,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797710,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,968797743,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
1201.4614,443.3624,0,497.2098,508.579,0.4647,0.3782,13.8104,497.2098,508.579,450.3323,554.3472,1201.4614,443.3624,0.6198,0.3718,14.4667,403.4547,600.1154,7,968797776,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
831.9348,485.4348,0,463.3497,527.4,0.4593,0.3787,13.9809,463.3497,527.4,429.622,546.3785,395.8943,565.357,0.6145,0.3699,14.3585,395.8943,565.357,7,968797809,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
701.7559,503.032,0,477.2975,509.6201,0.4549,0.378,13.8785,491.2097,491.8854,458.7463,522.9469,426.283,554.0084,0.6099,0.3677,14.7028,426.283,554.0084,7,968797842,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
701.7559,503.032,0,477.2975,509.6201,0.4549,0.378,13.8785,491.2097,491.8854,458.7463,522.9469,426.283,554.0084,0.6099,0.3677,14.7028,426.283,554.0084,7,968797842,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
639.7121,509.9112,0,484.0265,514.1628,0.4505,0.3771,13.9845,497.3284,523.2805,457.913,538.302,422.3853,553.6655,0.6053,0.3653,14.4004,418.4976,553.3235,7,968797876,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
639.7121,509.9112,0,484.0265,514.1628,0.4505,0.3771,13.9845,497.3284,523.2805,457.913,538.302,422.3853,553.6655,0.6053,0.3653,14.4004,418.4976,553.3235,7,968797876,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
606.6542,510.8751,0,482.4786,513.989,0.4459,0.3761,14.7518,477.7187,513.4936,432.7754,544.0193,410.812,560.6544,0.6005,0.3629,14.3394,387.8321,574.5449,7,968797909,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
606.6542,510.8751,0,482.4786,513.989,0.4459,0.3761,14.7518,477.7187,513.4936,432.7754,544.0193,410.812,560.6544,0.6005,0.3629,14.3394,387.8321,574.5449,7,968797909,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
606.6542,510.8751,0,482.4786,513.989,0.4459,0.3761,14.7518,477.7187,513.4936,432.7754,544.0193,410.812,560.6544,0.6005,0.3629,14.3394,387.8321,574.5449,7,968797909,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
486.6243,529.753,0,486.6243,529.753,0.442,0.3766,12.768,502.7743,591.6447,425.9101,619.4254,395.1837,582.5117,0.5959,0.3611,13.9758,349.0458,647.2062,7,968797942,12-Feb-2020 14:12:42,0,0,0,0,0,0,0,0
